"Chapter","Title","Phase","Level","Priority","Lab","StudyFile","ArchiveFile"
"1","第1章：ISP概述与发展历程","传统 ISP 与成像基础","入门","核心","lab01-raw与传感器身份契约.md","study_chapters/chapter01-第1章：ISP概述与发展历程.md","source_archive/chapter01-第1章：ISP概述与发展历程.md"
"2","第2章：CMOS图像传感器原理与技术","传统 ISP 与成像基础","入门","核心","lab01-raw与传感器身份契约.md","study_chapters/chapter02-第2章：CMOS图像传感器原理与技术.md","source_archive/chapter02-第2章：CMOS图像传感器原理与技术.md"
"3","第3章：图像传感器与ISP协同设计","传统 ISP 与成像基础","入门","核心","lab01-raw与传感器身份契约.md","study_chapters/chapter03-第3章：图像传感器与ISP协同设计.md","source_archive/chapter03-第3章：图像传感器与ISP协同设计.md"
"4","第4章：ISP前端处理：原始数据校正","传统 ISP 与成像基础","入门","核心","lab02-raw前端校正.md","study_chapters/chapter04-第4章：ISP前端处理：原始数据校正.md","source_archive/chapter04-第4章：ISP前端处理：原始数据校正.md"
"5","第5章：ISP前端处理：光学缺陷校正","传统 ISP 与成像基础","入门","核心","lab02-raw前端校正.md","study_chapters/chapter05-第5章：ISP前端处理：光学缺陷校正.md","source_archive/chapter05-第5章：ISP前端处理：光学缺陷校正.md"
"6","第6章：ISP前端处理：像素级处理","传统 ISP 与成像基础","入门 → 中级","核心","lab02-raw前端校正.md","study_chapters/chapter06-第6章：ISP前端处理：像素级处理.md","source_archive/chapter06-第6章：ISP前端处理：像素级处理.md"
"7","第7章：去马赛克技术深度解析","传统 ISP 与成像基础","入门 → 中级","核心","lab03-去马赛克与伪影.md","study_chapters/chapter07-第7章：去马赛克技术深度解析.md","source_archive/chapter07-第7章：去马赛克技术深度解析.md"
"8","第8章：ISP降噪技术全景","传统 ISP 与成像基础","入门 → 中级","核心","lab04-降噪与NLM.md","study_chapters/chapter08-第8章：ISP降噪技术全景.md","source_archive/chapter08-第8章：ISP降噪技术全景.md"
"9","第9章：NLM算法硬件实现专题","传统 ISP 与成像基础","入门 → 中级","核心","lab04-降噪与NLM.md","study_chapters/chapter09-第9章：NLM算法硬件实现专题.md","source_archive/chapter09-第9章：NLM算法硬件实现专题.md"
"10","第10章：色彩科学与ISP色彩处理","传统 ISP 与成像基础","入门 → 中级","核心","lab05-色彩与3A.md","study_chapters/chapter10-第10章：色彩科学与ISP色彩处理.md","source_archive/chapter10-第10章：色彩科学与ISP色彩处理.md"
"11","第11章：ISP硬件架构基础","硬件架构、HDR、计算摄影与 3A","入门 → 中级","核心","lab06-硬件数据流与定点.md","study_chapters/chapter11-第11章：ISP硬件架构基础.md","source_archive/chapter11-第11章：ISP硬件架构基础.md"
"12","第12章：ISP存储架构与数据流","硬件架构、HDR、计算摄影与 3A","入门 → 中级","核心","lab06-硬件数据流与定点.md","study_chapters/chapter12-第12章：ISP存储架构与数据流.md","source_archive/chapter12-第12章：ISP存储架构与数据流.md"
"13","第13章：ISP时序与功耗优化","硬件架构、HDR、计算摄影与 3A","入门 → 中级","核心","lab06-硬件数据流与定点.md","study_chapters/chapter13-第13章：ISP时序与功耗优化.md","source_archive/chapter13-第13章：ISP时序与功耗优化.md"
"14","第14章：HDR技术与ToneMapping","硬件架构、HDR、计算摄影与 3A","入门 → 中级","核心","lab07-HDR计算摄影与3A稳定性.md","study_chapters/chapter14-第14章：HDR技术与ToneMapping.md","source_archive/chapter14-第14章：HDR技术与ToneMapping.md"
"15","第15章：计算摄影与高级ISP功能","硬件架构、HDR、计算摄影与 3A","入门 → 中级","核心","lab07-HDR计算摄影与3A稳定性.md","study_chapters/chapter15-第15章：计算摄影与高级ISP功能.md","source_archive/chapter15-第15章：计算摄影与高级ISP功能.md"
"16","第16章：3A算法与ISP协同","硬件架构、HDR、计算摄影与 3A","入门 → 中级","核心","lab07-HDR计算摄影与3A稳定性.md","study_chapters/chapter16-第16章：3A算法与ISP协同.md","source_archive/chapter16-第16章：3A算法与ISP协同.md"
"17","第17章：高通SpectraISP架构深度剖析","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter17-第17章：高通SpectraISP架构深度剖析.md","source_archive/chapter17-第17章：高通SpectraISP架构深度剖析.md"
"18","第18章：苹果ISP技术解密","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter18-第18章：苹果ISP技术解密.md","source_archive/chapter18-第18章：苹果ISP技术解密.md"
